,coordinates,count,lng,lat,max_dist
205,174.8562435_-36.595729,64685,174.8562435,-36.595729,213.03024475838697
206,77.5584482_12.923114649999995,64350,77.5584482,12.923114649999995,121.87928925517038
207,-73.723025_45.5578305,64183,-73.723025,45.5578305,10.724542261616627
208,-14.4382302_14.4996774,64113,-14.4382302,14.4996774,816.4947917450233
209,35.8495147_33.8733656,64074,35.8495147,33.8733656,0.0
210,-35.6871125_-9.5333295,63844,-35.6871125,-9.5333295,13.949283442862031
211,-97.2859135_32.7799665,62966,-97.2859135,32.7799665,19.52512248001623
212,-120.882482_47.27302215,62925,-120.882482,47.27302215,176.53832659247402
213,32.56916015_0.28926745,62790,32.56916015,0.28926745,61.92698195375868
214,77.4233395_28.773568,62711,77.4233395,28.773568,63.89340919682255
215,-86.24319335000001_15.2011325,62170,-86.24319335000001,15.2011325,127.9089331523328
216,-57.581430499999996_-38.01158735,62155,-57.5814305,-38.01158735,28.90766656214959
217,27.36398905_37.058257,61780,27.36398905,37.058257,61.45016986593562
218,-78.55668150184674_-0.1665705005053845,61700,-78.55668150184674,-0.1665705005053845,85.20907218556844
219,138.611159872_-35.000767057000004,61666,138.611159872,-35.000767057000004,58.072106929652236
220,8.636605500000002_50.121235600000006,61388,8.636605500000002,50.121235600000006,51.85089721795899
221,-55.842543_-15.4551765,61258,-55.842543,-15.4551765,92.16140674012361
222,-40.47036395_-20.3073747,61252,-40.47036395,-20.3073747,24.18362864430522
223,21.7538085_-4.033377499999999,61208,21.7538085,-4.033377499999999,697.7725845970474
224,-2.12704045_57.1605562,61076,-2.12704045,57.1605562,89.31273821989991
225,-95.9136419_36.1093915,61010,-95.9136419,36.1093915,22.646947141766685
226,-0.35252890000000003_39.4224844,60659,-0.3525289,39.4224844,0.0
227,-0.92733235_41.6916363,60629,-0.92733235,41.6916363,11.648571642849452
228,-69.36762490000001_10.0555149,60157,-69.36762490000001,10.0555149,45.40537477836004
229,-0.5155211000000001_38.3489052,59926,-0.5155211000000001,38.3489052,30.474904287003614
230,27.968098050000002_-26.276138500000002,59635,27.96809805,-26.2761385,3.1711845447379254e-13
